"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"447","Abis minal aidin, lihat messi Dosa lagi deh",FALSE,0,NA,2018-06-17 06:02:46,FALSE,NA,"1008228440477085696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rommyhakim",0,FALSE,FALSE,NA,NA,"Tempat Pembuangan Akhir","id","http://pbs.twimg.com/profile_images/1006873548873334785/1tTSHU3u_normal.jpg"
"448","RT @brfootball: The day Iceland froze Messi. <U+2744><U+FE0F> https://t.co/KSWxxOtcar",FALSE,0,NA,2018-06-17 06:02:46,FALSE,NA,"1008228439596392448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T4nteM0",1358,TRUE,FALSE,NA,NA,"Flensburg, Schleswig-Holstein","de","http://pbs.twimg.com/profile_images/971108306822582275/WD0QUV3m_normal.jpg"
"449","Which Salman movie deserves a sequel ?<f0><U+009F><U+00A4><U+0094> 

#Race3review #Race3Biggest2018Opener #Race3 #SalmanKhan #ARGISL… https://t.co/cnlwRF9Vgf",FALSE,2,NA,2018-06-17 06:02:46,TRUE,NA,"1008228439264858112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeingShub3",0,FALSE,FALSE,NA,NA,"Heaven place on earth <f0><U+009F><U+008C><U+008E> ","en","http://pbs.twimg.com/profile_images/1004809593694892032/LwCXuqx2_normal.jpg"
"450","RT @fptoscos: Toma nota, Sampaoli    

                    Armani
     
           Otamendi Fazio
Mercado.                  Tagliafico…",FALSE,0,NA,2018-06-17 06:02:46,FALSE,NA,"1008228438807842816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arielfernandoRP",4240,TRUE,FALSE,NA,NA,"Berazategui, Argentina ","es","http://pbs.twimg.com/profile_images/986801625372250113/ZFbcAYxi_normal.jpg"
"451","RT @InfosFuteboI: Hoje teve Cristiano Ronaldo, amanhã tem Messi e domingo tem Neymar. Eu te amo, Copa do Mundo! https://t.co/RdE2oecoQ9",FALSE,0,NA,2018-06-17 06:02:46,FALSE,NA,"1008228438409449472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Laivellyn",10015,TRUE,FALSE,NA,NA,"Cataguases, Brasil","pt","http://pbs.twimg.com/profile_images/1007828584487096320/EG3cK8MS_normal.jpg"
"452","@CNNIndonesia Messi terkena penyakit Penaltyfobia.",FALSE,0,"CNNIndonesia",2018-06-17 06:02:46,FALSE,"1008208752187604992","1008228437855629314","17128975","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TjeiTjan2",0,FALSE,FALSE,NA,NA,"Medan Helvetia, Indonesia","en","http://pbs.twimg.com/profile_images/994455839262949376/C1Sad_ho_normal.jpg"
"453","RT @nadanovonofront: A disputa que vale em números, até agora:

PÊNALTIS PERDIDOS:
Messi: 1
Taison: 0

EMPATES COM A ISLÂNDIA
Messi: 1
Tais…",FALSE,0,NA,2018-06-17 06:02:46,FALSE,NA,"1008228437708951553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fidelis1909_",663,TRUE,FALSE,NA,NA,"Bom Jesus","pt","http://pbs.twimg.com/profile_images/977391589650726912/-m6IOJRo_normal.jpg"
"454","RT @walterstefanon: o narrador da Islândia narrando o penalti do Messi é coisa de doido https://t.co/pk24B0XVLV",FALSE,0,NA,2018-06-17 06:02:45,FALSE,NA,"1008228435385376769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heavenmarvel",970,TRUE,FALSE,NA,NA,"fan account","pt","http://pbs.twimg.com/profile_images/1007377293994594305/6KU8UR5u_normal.jpg"
"455","messi <f0><U+009F><U+0087><U+00A6><f0><U+009F><U+0087><U+00B7>:((",FALSE,0,NA,2018-06-17 06:02:45,FALSE,NA,"1008228435129294848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hendychua_10",0,FALSE,FALSE,NA,NA,"National Capital Region","en","http://pbs.twimg.com/profile_images/996644857811632128/vi3lXjDe_normal.jpg"
"456","RT @AfricaFootDaily: Si on a bien suivi :

Cristiano Ronaldo tombe et obtient un Penalty.
Griezmann tombe et obtient un penalty.
Messi tomb…",FALSE,0,NA,2018-06-17 06:02:45,FALSE,NA,"1008228433468502016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yorogang18",90,TRUE,FALSE,NA,NA,"Paradis","fr","http://pbs.twimg.com/profile_images/1007876873672675328/YMwMcRPR_normal.jpg"
"457","RT @bbcmundo: Hannes Halldórsson, el arquero de Islandia y director de cine que arruinó el debut de Messi y Argentina bajo la dirección de…",FALSE,0,NA,2018-06-17 06:02:45,FALSE,NA,"1008228433401401349",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heribertofranco",180,TRUE,FALSE,NA,NA,"David, Chiriquí, Panamá","es","http://pbs.twimg.com/profile_images/970845985810321408/bsSgfMma_normal.jpg"
"458","RT @SomeonesAnIdiot: ESPN says Messi must ignore Ronaldo comparisons........like for example, the one they posted right below that statemen…",FALSE,0,NA,2018-06-17 06:02:44,FALSE,NA,"1008228432474501121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","K_Ban",95,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/895319443978338305/0oMiXKMf_normal.jpg"
"459","RT @vera: Chiquititas jamais poderiam ser da equipe técnica da Argentina porque elas gritariam ""Messi, Messi, Messi com as mãos"" e ele leva…",FALSE,0,NA,2018-06-17 06:02:44,FALSE,NA,"1008228431832731648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suc4s",122,TRUE,FALSE,NA,NA,"","pt","http://pbs.twimg.com/profile_images/712383696750440449/qoS1ivp-_normal.jpg"
"460","RT @IanWright0: Messi <f0><U+009F><U+0098><U+00B1><f0><U+009F><U+0098><U+00B1><f0><U+009F><U+0098><U+00B1><f0><U+009F><U+0098><U+00B1> #Worldcup https://t.co/DOvuBeb8c6",FALSE,0,NA,2018-06-17 06:02:44,FALSE,NA,"1008228430406717441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mydawghaffilive",8669,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/864861846976770048/CDIIS1Qt_normal.jpg"
"461","RT @rwohan: In 2016, Iceland tied Portugal, 1-1. Ronaldo took 10 shots, no goals.

In 2018, Iceland tied Argentina, 1-1. Messi took 11 shot…",FALSE,0,NA,2018-06-17 06:02:44,FALSE,NA,"1008228430377299968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dat9jaboy007",13427,TRUE,FALSE,NA,NA,"Delta","en","http://pbs.twimg.com/profile_images/1006280716450136067/TfmODSzt_normal.jpg"
"462","RT @Pol_Sec_Analyst: Finally understand why some people refer to Lionel Messi as a GOAT after watching him being herded around for 90 minut…",FALSE,0,NA,2018-06-17 06:02:44,FALSE,NA,"1008228430100533248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mikorza",934,TRUE,FALSE,NA,NA,"Sandton, South Africa","en","http://pbs.twimg.com/profile_images/1007272705366941697/FV0IQcrh_normal.jpg"
"463","RT @Nabil_djellit: Ronaldo 3 Messi 0. À suivre... #ARG #POR",FALSE,0,NA,2018-06-17 06:02:42,FALSE,NA,"1008228422286442498",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SarahMoonsorrow",105,TRUE,FALSE,NA,NA,"Ásgard","fr","http://pbs.twimg.com/profile_images/1007961569806962688/zQja3yLs_normal.jpg"
"464","RT @memo_schutz: <f0><U+009F><U+0087><U+00B5><f0><U+009F><U+0087><U+00B9> Cristiano vs España <f0><U+009F><U+0087><U+00AA><f0><U+009F><U+0087><U+00B8>
-Ante portero catalogado cómo el mejor del mundo
<U+2705> Anota penal
<U+2705> Anota tiro libre
<U+2705> Hat-trick…",FALSE,0,NA,2018-06-17 06:02:42,FALSE,NA,"1008228422198464517",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UBABARRIOS55",1736,TRUE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/907819658673315841/CoxIpgwi_normal.jpg"
